"Dataset","RootPath","Category","FileCount","TotalBytes","ZeroByteFiles","TopExtensions","Tracked","Recoverability","PatientLevelRowsIncluded"
"01_NIH_ChestXray14","F:\AI\TrustCXR\TrustCXR-Data\01_NIH_ChestXray14","KEEP_LOCAL_REQUIRED","112128","45077186807","0",".png:112120;.pdf:4;.csv:2;.txt:2","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"02_VinBigData","F:\AI\TrustCXR\TrustCXR-Data\02_VinBigData","KEEP_LOCAL_REQUIRED","18003","357938065916","0",".dicom:18000;.csv:2;.zip:1","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"03_Indiana_Reports","F:\AI\TrustCXR\TrustCXR-Data\03_Indiana_Reports","KEEP_LOCAL_REQUIRED","7472","14185071106","0",".png:7470;.csv:2","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"04_NIH_CheXmask","F:\AI\TrustCXR\TrustCXR-Data\04_NIH_CheXmask","KEEP_LOCAL_REQUIRED","1","2192460565","0",".csv:1","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"05_CRD_Masks","F:\AI\TrustCXR\TrustCXR-Data\05_CRD_Masks","KEEP_LOCAL_REQUIRED","13247","2550330065","0",".png:13244;.csv:1;.pdf:1;.ipynb:1","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"06_RSNA_Pneumonia","F:\AI\TrustCXR\TrustCXR-Data\06_RSNA_Pneumonia","KEEP_LOCAL_REQUIRED","29688","3956648008","0",".dcm:29684;.csv:3;.txt:1","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"07_CheXpert_Small","F:\AI\TrustCXR\TrustCXR-Data\07_CheXpert_Small","KEEP_LOCAL_REQUIRED","223651","11471429175","0",".jpg:223649;.csv:2","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"08_SIIM_Pneumothorax","F:\AI\TrustCXR\TrustCXR-Data\08_SIIM_Pneumothorax","KEEP_LOCAL_REQUIRED","3209","439106825","0",".dcm:3205;.py:2;.csv:2","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"09_TBX11K","F:\AI\TrustCXR\TrustCXR-Data\09_TBX11K","KEEP_LOCAL_REQUIRED","11703","4071010628","0",".png:11702;.csv:1","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
"10_COVID_Radiography","F:\AI\TrustCXR\TrustCXR-Data\10_COVID_Radiography","KEEP_LOCAL_REQUIRED","42336","1622867989","0",".png:42330;.xlsx:4;.zip:1;.txt:1","False","LOCAL_ONLY_REQUIRES_SOURCE_AND_LICENSE_REVIEW","False"
