"Path","Category","Size","SHA256","TrackedOrIgnored","Producer","Consumers","LastKnownStage","Reason","Evidence","ReplacementPath","RecoveryPath","RiskLevel","DeletionPermitted","ValidationRequired"
".venv/Lib/site-packages/certifi/tests/__pycache__/test_certify.cpython-312.pyc","QUARANTINE_CANDIDATE","1496","724B37D1614D8003E307C9557BA9358D476F8F70E2D6204B3D49E3B96D78DDEF","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/certifi/tests/__pycache__/__init__.cpython-312.pyc","QUARANTINE_CANDIDATE","161","03B83AECFBE002A89EAA11660430F6CC840FDD62453C7817A76F14CA55C7BA5F","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/certifi/__pycache__/core.cpython-312.pyc","QUARANTINE_CANDIDATE","2029","6BE134C683E5E5BDA889731EE90B032A4AE120E74C9BA2EA85BED624030CF000","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/certifi/__pycache__/__init__.cpython-312.pyc","QUARANTINE_CANDIDATE","282","76973A122B53DEB9836D8C801EFA9C8B87E11858ED1C495E6CB7FC34CA30F991","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/certifi/__pycache__/__main__.cpython-312.pyc","QUARANTINE_CANDIDATE","597","F0DA552E101DE80A056A66C775A2614CAC6F0426C084F6003958DF2179D6B4EA","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/cli/__pycache__/__init__.cpython-312.pyc","QUARANTINE_CANDIDATE","311","5D5D503A99355D32E3F59D5114977461185532DD683271364FADE98E9D1ECFEA","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/cli/__pycache__/__main__.cpython-312.pyc","QUARANTINE_CANDIDATE","13632","D7B0C992726222F53B60D26BE1BD7436C7B5449A85FDA00BC1BB05938A018FF5","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/api.cpython-312.pyc","QUARANTINE_CANDIDATE","24269","BA689105ACAE8DBA9098568CCD17274A78A06D8131986EC65AB7F284720635AF","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/cd.cpython-312.pyc","QUARANTINE_CANDIDATE","14032","0096508A38E3DA0837FFD06FFF65BD688C4F469CDF83F1B059D5F33953AA544B","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
".venv/Lib/site-packages/charset_normalizer/__pycache__/constant.cpython-312.pyc","QUARANTINE_CANDIDATE","43755","3562F0754F251E6E9C2D1A593ECE7E8BF5E2B73002392031CED4C2944B067514","IGNORED_OR_UNTRACKED","Python or repository tooling","None proven; validation required","UNKNOWN","Reproducible interpreter/tool cache","Extension or cache-directory contract","Regenerated by the owning tool","NOT_YET_QUARANTINED","LOW","False","Full tests after environment repair"
