"Canonical stage identifier","Capability","Upstream gate","Required datasets","Required annotations","Required checkpoints","Required reports","Expected scripts","Expected configs","Expected outputs","Expected tests","Current readiness","Current blocker","User command when ready"
"0","Original Stage 0","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","COMPLETED_AND_VERIFIED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"1","Original Stage 1","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","PARTIALLY_COMPLETED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"2","Original Stage 2","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","PARTIALLY_COMPLETED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"3","Original Stage 3","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","COMPLETED_AND_VERIFIED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"4","Original Stage 4","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","PARTIALLY_COMPLETED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"5","Original Stage 5","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","COMPLETED_AND_VERIFIED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"6","Original Stage 6","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","COMPLETED_AND_VERIFIED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"7","Original Stage 7","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","WAITING_FOR_UPSTREAM_GATE","Upstream/data/license/annotation evidence described by specification","See stage specification; only Stage 9B has a current executable command"
"8","Original Stage 8","Actual Stage 9A gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","CURRENTLY_IN_PROGRESS","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
"9","Original Stage 9","Previous applicable original and actual gate","See complete registry","See stage specification","See stage specification","See stage specification","See stage specification","See stage specification","Aggregate reports plus local artifacts","See stage specification","PARTIALLY_COMPLETED","Mapped evidence or remaining components","See stage specification; only Stage 9B has a current executable command"
