metric,label,point_estimate,ci_low,ci_high,valid_replicates,interval_status
auprc,Atelectasis,0.9760835963474215,0.9619748445811995,0.9879706995793843,2000,ESTIMABLE
auprc,Cardiomegaly,0.9014919288449418,0.8669913793886758,0.9307918460421628,2000,ESTIMABLE
auprc,Consolidation,0.6742967170621845,0.5972134292947465,0.756043613122894,2000,ESTIMABLE
auprc,Edema,0.8234862772353939,0.7710943913482212,0.8700566192570917,2000,ESTIMABLE
auprc,Enlarged Cardiomediastinum,0.615030934457237,0.5273855350097886,0.7042207225275308,2000,ESTIMABLE
auprc,Fracture,0.8945983629449221,0.8337572543186189,0.9416167537361697,2000,ESTIMABLE
auprc,Lung Lesion,0.9259233178169797,0.8816841479815821,0.9586020363447034,2000,ESTIMABLE
auprc,Lung Opacity,0.9637809749974975,0.9519976263729777,0.9734976225487199,2000,ESTIMABLE
auprc,No Finding,0.9999047407851915,,,1723,NOT_ESTIMABLE_INSUFFICIENT_VALID_REPLICATES
auprc,Pleural Effusion,0.9553902840958444,0.9418376186303609,0.9674966682061579,2000,ESTIMABLE
auprc,Pleural Other,0.9402684938338788,0.8741999971029687,0.9854565125269925,2000,ESTIMABLE
auprc,Pneumonia,0.8623941829904527,0.7981010312444814,0.9150925991958051,2000,ESTIMABLE
auprc,Pneumothorax,0.5242779031431943,0.4156974094429579,0.6233077709472364,2000,ESTIMABLE
auprc,Support Devices,0.9727753656687088,0.962778136305769,0.9811832969215148,2000,ESTIMABLE
macro_auprc,ALL_LABELS,0.8592645057302748,0.8424038071486737,0.8731999138223663,2000,ESTIMABLE
auroc,Atelectasis,0.8216683450822423,0.7525616894817003,0.8861712569040155,2000,ESTIMABLE
auroc,Cardiomegaly,0.9091391974746555,0.8836178023868088,0.9327261518082571,2000,ESTIMABLE
auroc,Consolidation,0.892193679317283,0.8611747265926798,0.920856196546345,2000,ESTIMABLE
auroc,Edema,0.8910080908793724,0.8619887645422468,0.9162908761224959,2000,ESTIMABLE
auroc,Enlarged Cardiomediastinum,0.8346116920789933,0.7945033470129378,0.8715398448105223,2000,ESTIMABLE
auroc,Fracture,0.770923520923521,0.696299825213169,0.8417472577369958,2000,ESTIMABLE
auroc,Lung Lesion,0.7552145768400863,0.668040845578413,0.8329554411165625,2000,ESTIMABLE
auroc,Lung Opacity,0.8093375210625433,0.770621049583738,0.8444171183544734,2000,ESTIMABLE
auroc,No Finding,0.9739858906525574,,,1723,NOT_ESTIMABLE_INSUFFICIENT_VALID_REPLICATES
auroc,Pleural Effusion,0.958920103045471,0.9497532031524902,0.967774965426178,2000,ESTIMABLE
auroc,Pleural Other,0.7950680272108843,0.6493230315774959,0.9073653831548568,2000,ESTIMABLE
auroc,Pneumonia,0.8246047430830039,0.7655361299382332,0.8740710199706402,2000,ESTIMABLE
auroc,Pneumothorax,0.8384545211819152,0.797804819452321,0.8749339494404581,2000,ESTIMABLE
auroc,Support Devices,0.7784758531511778,0.7287708533346134,0.8248309373426469,2000,ESTIMABLE
macro_auroc,ALL_LABELS,0.8466861258559792,0.8273864837757993,0.8609792934021276,2000,ESTIMABLE
