label,auprc,auroc,valid_record_count
Atelectasis,0.9760835963474215,0.8216683450822423,367
Cardiomegaly,0.9014919288449418,0.9091391974746555,631
Consolidation,0.6742967170621845,0.892193679317283,954
Edema,0.8234862772353939,0.8910080908793724,661
Enlarged Cardiomediastinum,0.615030934457237,0.8346116920789933,774
Fracture,0.8945983629449221,0.770923520923521,208
Lung Lesion,0.9259233178169797,0.7552145768400863,237
Lung Opacity,0.9637809749974975,0.8093375210625433,1214
No Finding,0.9999047407851915,0.9739858906525574,569
Pleural Effusion,0.9553902840958444,0.958920103045471,1812
Pleural Other,0.9402684938338788,0.7950680272108843,116
Pneumonia,0.8623941829904527,0.8246047430830039,224
Pneumothorax,0.5242779031431943,0.8384545211819152,1007
Support Devices,0.9727753656687088,0.7784758531511778,931
