model,metric,point_estimate,ci_low,ci_high,valid_replicates,status
stage9_original,macro_nll_uncalibrated,0.23810362413147157,0.21903938824809907,0.25775466629699345,2000,ESTIMABLE
stage9_original,macro_nll_calibrated,0.23163737159342346,0.21002710499384514,0.2534171487169152,2000,ESTIMABLE
stage9_original,macro_brier_uncalibrated,0.06922114900601276,0.06244608636055135,0.07603646238576542,2000,ESTIMABLE
stage9_original,macro_brier_calibrated,0.06803408609033502,0.06096694730984433,0.07521184780979352,2000,ESTIMABLE
stage9_original,macro_ece_uncalibrated,0.10665272870221075,0.09953683623388362,0.11555291339903455,2000,ESTIMABLE
stage9_original,macro_ece_calibrated,0.08911280058975417,0.08242252090904434,0.09909039975951378,2000,ESTIMABLE
stage9_original,selected_coverage,0.8330827067669173,0.7981444361554033,0.8660457491709376,2000,ESTIMABLE
stage9_original,selected_brier_risk,0.060125034042644854,0.053042540199971705,0.06748875069322073,2000,ESTIMABLE
stage9_original,selected_macro_auprc,0.21138698801805014,0.1843350051040766,0.2846713985236169,2000,ESTIMABLE
stage9_original,selected_macro_auroc,0.7835318116522124,0.7376982218842787,0.8195661930881138,2000,ESTIMABLE
stage9_original,aurc,0.02668333838145029,0.023022666858721293,0.03060436077431652,2000,ESTIMABLE
stage13_frontal_only,macro_nll_uncalibrated,0.3747484943327732,0.33029138616538783,0.4203118019615516,2000,ESTIMABLE
stage13_frontal_only,macro_nll_calibrated,0.3705422692497959,0.33003337191557824,0.4117472102863117,2000,ESTIMABLE
stage13_frontal_only,macro_brier_uncalibrated,0.11743274237132803,0.1015856182659876,0.13342276581733967,2000,ESTIMABLE
stage13_frontal_only,macro_brier_calibrated,0.11669064443433774,0.10179736095145095,0.13172079981232698,2000,ESTIMABLE
stage13_frontal_only,macro_ece_uncalibrated,0.08318753583940773,0.09182305017321145,0.12330519177660555,2000,ESTIMABLE
stage13_frontal_only,macro_ece_calibrated,0.08994586735778506,0.09728764437861959,0.12982592258329279,2000,ESTIMABLE
stage13_frontal_only,selected_coverage,0.8197368421052632,0.7948002767450778,0.8455059085625727,2000,ESTIMABLE
stage13_frontal_only,selected_brier_risk,0.10143889875146088,0.09061930315952743,0.11215767577783736,2000,ESTIMABLE
stage13_frontal_only,selected_macro_auprc,0.8742154550840725,0.8420696101631754,0.9019862692692938,2000,ESTIMABLE
stage13_frontal_only,selected_macro_auroc,0.8135636622150662,0.778345848229367,0.8486578075565449,2000,ESTIMABLE
stage13_frontal_only,aurc,0.05187164662852439,0.04635240693235689,0.057591825723332046,2000,ESTIMABLE
