model,requested_coverage,coverage,masked_brier_risk,macro_auprc,macro_auroc
stage9_original,1.0,1.0,0.06803408609033501,0.21240399576229865,0.7808098677198495
stage9_original,0.95,0.9503759398496241,0.06515782236017624,0.21523847153807568,0.77993924548626
stage9_original,0.9,0.9007518796992481,0.06335258905253016,0.21808513737064822,0.7776036441119395
stage9_original,0.85,0.8511278195488722,0.06071636794163445,0.2150066000518029,0.780928181885683
stage9_original,0.8,0.8,0.05777636496343085,0.2180898552301352,0.7914773241940507
stage9_original,0.7,0.7007518796992481,0.050802834281818705,0.2387840472619806,0.8142695812861531
stage9_original,0.6,0.6,0.04392522685414936,0.21728072170288135,0.7805846523995259
stage9_original,0.5,0.5007518796992482,0.035114587478679606,0.24553778035591753,0.7570753562658482
stage13_frontal_only,1.0,1.0,0.10110283362322087,0.8689708601749876,0.8104043360085303
stage13_frontal_only,0.95,0.95,0.10162529392445187,0.8690806148361938,0.8120642979983891
stage13_frontal_only,0.9,0.9,0.10040682433244702,0.8718463330288619,0.8140140886451228
stage13_frontal_only,0.85,0.85,0.1006723624581648,0.8732494960089016,0.8123704741526204
stage13_frontal_only,0.8,0.8,0.10094838441943799,0.8733270905982978,0.811790264017659
stage13_frontal_only,0.7,0.7,0.10433427152762857,0.8657996274319152,0.802944979628846
stage13_frontal_only,0.6,0.6,0.10600453228257044,0.8662432679543393,0.8060657046064741
stage13_frontal_only,0.5,0.5,0.11207685079425878,0.8649997208172419,0.7964044973627316
