scope,label,metric,confidence_level,densenet_ci_low,densenet_ci_high,rad_dino_ci_low,rad_dino_ci_high,delta_ci_low,delta_ci_high,densenet_valid_replicates,rad_dino_valid_replicates,delta_valid_replicates,interpretation
label,Atelectasis,auroc,0.95,0.7526974514261827,0.7790227710615287,0.7490221739081284,0.7771282241274268,-0.011828404436373645,0.00548651542930885,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Cardiomegaly,auroc,0.95,0.8748906910487777,0.9047118786728809,0.859059827661321,0.8953674355421063,-0.023304016140247706,-0.00229104210485098,1000,1000,1000,DENSENET_HIGHER
label,Effusion,auroc,0.95,0.8137048819117841,0.8346624391919372,0.7956980956461377,0.8190308213155754,-0.021805155079492662,-0.010291644750735122,1000,1000,1000,DENSENET_HIGHER
label,Infiltration,auroc,0.95,0.6926778434470702,0.7127016200114368,0.6857881847088126,0.7073157634470372,-0.01220895039449367,-0.0006605446721946001,1000,1000,1000,DENSENET_HIGHER
label,Mass,auroc,0.95,0.7918266476984607,0.8294009724512905,0.7981711625772273,0.8453935171855297,-0.006654998532008332,0.027446565594215395,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Nodule,auroc,0.95,0.7216861750524715,0.763363827989892,0.7277278120978494,0.7703974859422663,-0.010687540534088113,0.02219485633587514,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Pneumonia,auroc,0.95,0.6839597335051432,0.7282556258477823,0.6767485246744432,0.7250688481758242,-0.02556612705625236,0.01488697191174598,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Pneumothorax,auroc,0.95,0.8355844537125752,0.8698478014297423,0.8661587913837524,0.8908049667948588,0.014516101451412989,0.0380737050489136,1000,1000,1000,RAD_DINO_HIGHER
label,Consolidation,auroc,0.95,0.7285954091785622,0.7588370902420929,0.7173111578782564,0.7486533107583091,-0.01991371510950285,0.0018163382170109882,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Edema,auroc,0.95,0.8226754458535058,0.8595768806155121,0.8317511351449209,0.8678626452476201,-0.001968973775938647,0.018905532353308663,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Emphysema,auroc,0.95,0.8816178512749906,0.9083971385956857,0.8484338815813386,0.881135695595265,-0.04570235686181401,-0.01617423537766639,1000,1000,1000,DENSENET_HIGHER
label,Fibrosis,auroc,0.95,0.7950575631147537,0.8466217069309191,0.7933303963856395,0.8441435204437324,-0.027063891530229218,0.02001546580565868,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Pleural_Thickening,auroc,0.95,0.7429143110694685,0.7826605081484389,0.7665394363690401,0.8024244353718252,0.007873659573435329,0.03473191642021533,1000,1000,1000,RAD_DINO_HIGHER
label,Hernia,auroc,0.95,0.8515699842425749,0.9458273868169192,0.8468461018231613,0.9483767127620856,-0.04346746074614638,0.038335259739943686,1000,1000,1000,NO_CLEAR_DIFFERENCE
macro,ALL_LABELS,auroc,0.95,0.7984671772650404,0.8106847327856519,0.796948714665886,0.8102610699998563,-0.005843862742130659,0.003863644721780424,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Atelectasis,auprc,0.95,0.3135432328362261,0.3616077398714739,0.31026019119349607,0.36463159580864035,-0.014912339358780993,0.013859560209921734,1000,1000,1000,NO_CLEAR_DIFFERENCE
