label,prevalence,densenet_threshold,rad_dino_threshold,densenet_auroc,rad_dino_auroc,delta_rad_minus_dense_auroc,densenet_auprc,rad_dino_auprc,delta_rad_minus_dense_auprc,densenet_f1,rad_dino_f1,delta_rad_minus_dense_f1,densenet_sensitivity,rad_dino_sensitivity,delta_rad_minus_dense_sensitivity,densenet_specificity,rad_dino_specificity,delta_rad_minus_dense_specificity,auroc_delta_ci_low,auroc_delta_ci_high,auroc_winner,auprc_delta_ci_low,auprc_delta_ci_high,auprc_winner,f1_delta_ci_low,f1_delta_ci_high,f1_winner,sensitivity_delta_ci_low,sensitivity_delta_ci_high,sensitivity_winner,specificity_delta_ci_low,specificity_delta_ci_high,specificity_winner
Atelectasis,0.12810595405532113,0.7,0.7,0.7663990254483202,0.7631298896300599,-0.0032691358182602714,0.3387033121950165,0.3371587733405502,-0.0015445388544662597,0.3859375,0.38095238095238093,-0.004985119047619058,0.5272949069838365,0.5794449527294907,0.05215004574565418,0.8229152663888516,0.7850965631581306,-0.03781870323072101,-0.011828404436373645,0.00548651542930885,NO_CLEAR_DIFFERENCE,-0.014912339358780993,0.013859560209921734,NO_CLEAR_DIFFERENCE,-0.017944056896041463,0.008423583727654482,NO_CLEAR_DIFFERENCE,0.02843742482479171,0.07665274320872044,RAD_DINO_HIGHER,-0.051590663330342804,-0.02495066888083612,DENSENET_HIGHER
Cardiomegaly,0.04176433817784029,0.7,0.7999999999999999,0.8899795734930708,0.8777315833340422,-0.012247990159028554,0.3474303379750386,0.34072319921842587,-0.006707138756612718,0.3990860624523991,0.3992047713717694,0.00011870891937032502,0.490177736202058,0.4695977549111319,-0.020579981290926086,0.9578831491825336,0.9615118033187915,0.003628654136257903,-0.023304016140247706,-0.00229104210485098,DENSENET_HIGHER,-0.025917124693916264,0.013625644165671637,NO_CLEAR_DIFFERENCE,-0.021308787859849087,0.022516951336129725,NO_CLEAR_DIFFERENCE,-0.06013247360191151,0.018753917807697838,NO_CLEAR_DIFFERENCE,-0.000689964969479296,0.007869485709863165,NO_CLEAR_DIFFERENCE
Effusion,0.18198155961869042,0.75,0.75,0.8238423693071462,0.8075085540532044,-0.01633381525394173,0.5015832872113304,0.4739087336935989,-0.02767455351773146,0.5227758592336786,0.508296673612719,-0.014479185620959623,0.6824817518248175,0.7069557750107343,0.024474023185916738,0.7934377686503009,0.7609131722227529,-0.032524596427548014,-0.021805155079492662,-0.010291644750735122,DENSENET_HIGHER,-0.04218093997057274,-0.013849198851262038,DENSENET_HIGHER,-0.025620795012495586,-0.0035470894905002856,DENSENET_HIGHER,0.005178956513872212,0.04528813280387326,RAD_DINO_HIGHER,-0.044801462594022165,-0.020557298518905052,DENSENET_HIGHER
Infiltration,0.23878731051726831,0.5499999999999999,0.5499999999999999,0.7027995760852508,0.6963367160032504,-0.006462860082000366,0.39537444931729215,0.3871755697365499,-0.00819887958074228,0.4657092614302462,0.46281313968223026,-0.0028961217480159562,0.7799410994764397,0.7768324607329843,-0.0031086387434554608,0.5076473003490043,0.5043112297269554,-0.003336070622048881,-0.01220895039449367,-0.0006605446721946001,DENSENET_HIGHER,-0.017794819567453334,0.001678593612776688,NO_CLEAR_DIFFERENCE,-0.008800065838466018,0.003407898320150402,NO_CLEAR_DIFFERENCE,-0.016635187549758516,0.010640549966307183,NO_CLEAR_DIFFERENCE,-0.016052119701137867,0.008900694168814864,NO_CLEAR_DIFFERENCE
Mass,0.06829192061259572,0.85,0.85,0.812085163510778,0.8242570269602219,0.012171863449443876,0.29210141600882134,0.30925181044397343,0.017150394435152094,0.3526093088857546,0.3730794200389526,0.020470111153198023,0.35755148741418763,0.4931350114416476,0.13558352402746,0.9508554176450855,0.9156742703790675,-0.035181147266018065,-0.006654998532008332,0.027446565594215395,NO_CLEAR_DIFFERENCE,-0.002850435077963585,0.03709961155100484,NO_CLEAR_DIFFERENCE,-0.0027032510386017627,0.04333542738062543,NO_CLEAR_DIFFERENCE,0.1057495092693566,0.16629042113955406,RAD_DINO_HIGHER,-0.043773400193157494,-0.02682197186609184,DENSENET_HIGHER
Nodule,0.06340834505391467,0.75,0.85,0.7435160997897126,0.7495200430737198,0.006003943284007218,0.22269909852973496,0.20423909819731342,-0.01846000033242154,0.2768421052631579,0.25909248354693454,-0.01774962171622335,0.32409118915588414,0.23043746149106592,-0.09365372766481822,0.9311308555458224,0.9628749009302131,0.031744045384390684,-0.010687540534088113,0.02219485633587514,NO_CLEAR_DIFFERENCE,-0.034579144602721885,-0.0010093223328525743,DENSENET_HIGHER,-0.042903867523414956,0.007305227556713563,NO_CLEAR_DIFFERENCE,-0.1251569264069264,-0.0631883387180697,DENSENET_HIGHER,0.023399357013802594,0.041174058549554915,RAD_DINO_HIGHER
Pneumonia,0.021683075480543833,0.39999999999999997,0.6,0.7059903200193125,0.7006526953453993,-0.005337624673913188,0.0470267677939083,0.04762468070412898,0.0005979129102206826,0.08481047177529316,0.08794714057871952,0.0031366688034263623,0.5603603603603604,0.34774774774774775,-0.21261261261261266,0.7417036060860189,0.8545984585280141,0.11289485244199515,-0.02556612705625236,0.01488697191174598,NO_CLEAR_DIFFERENCE,-0.006733211476303957,0.009958139940767106,NO_CLEAR_DIFFERENCE,-0.007370791496205909,0.013468261211971784,NO_CLEAR_DIFFERENCE,-0.2658487753118035,-0.16420469090477702,DENSENET_HIGHER,0.09667392053499953,0.13092728385969069,RAD_DINO_HIGHER
Pneumothorax,0.10411783091107986,0.7999999999999999,0.7999999999999999,0.8525806148357791,0.878743154989072,0.02616254015329289,0.400359688440021,0.4462747254161755,0.04591503697615451,0.45901639344262296,0.5092618191871717,0.050245425744548766,0.49380863039399625,0.6911819887429643,0.19737335834896808,0.9235532685011556,0.8810780166586717,-0.04247525184248391,0.014516101451412989,0.0380737050489136,RAD_DINO_HIGHER,0.02018599988120105,0.0760663722813837,RAD_DINO_HIGHER,0.02358675792247779,0.08088560733412441,RAD_DINO_HIGHER,0.15801557125457838,0.24141664550500092,RAD_DINO_HIGHER,-0.05010268411401657,-0.0354196898189733,DENSENET_HIGHER
Consolidation,0.07090951711204876,0.75,0.7,0.7430149517469036,0.733894723233806,-0.009120228513097572,0.15364506837180483,0.15616151055884786,0.0025164421870430276,0.2363159619796788,0.23337268791814247,-0.0029432740615363273,0.3972451790633609,0.6534435261707989,0.25619834710743805,0.8500483579328035,0.6987931541987301,-0.15125520373407342,-0.01991371510950285,0.0018163382170109882,NO_CLEAR_DIFFERENCE,-0.01185384923307861,0.01550899636887829,NO_CLEAR_DIFFERENCE,-0.019011800832765782,0.012985460356942605,NO_CLEAR_DIFFERENCE,0.21609918979440185,0.298020710818382,RAD_DINO_HIGHER,-0.17066726920593928,-0.13167630045013923,DENSENET_HIGHER
Edema,0.03613845913423973,0.75,0.7999999999999999,0.8412644455082947,0.8497275168241081,0.008463071315813364,0.1526780669961117,0.17750456524913558,0.024826498253023882,0.22970195272353547,0.25682382133995035,0.027121868616414885,0.48324324324324325,0.44756756756756755,-0.0356756756756757,0.8978557820923351,0.9235945036682744,0.02573872157593937,-0.001968973775938647,0.018905532353308663,NO_CLEAR_DIFFERENCE,0.004763402564427224,0.04543347855033824,RAD_DINO_HIGHER,0.007867076411738285,0.046922423029676634,RAD_DINO_HIGHER,-0.0782059592374556,0.004640596513394344,NO_CLEAR_DIFFERENCE,0.016124358324788462,0.03663302298019296,RAD_DINO_HIGHER
