target_label,samples,normalized_entropy_mean,normalized_entropy_std,normalized_entropy_median,top_fraction_concentration_mean,top_fraction_concentration_std,top_fraction_concentration_median,center_border_density_ratio_mean,center_border_density_ratio_std,center_border_density_ratio_median,flip_map_correlation_mean,flip_map_correlation_std,flip_map_correlation_median,cls_flip_cosine_mean,cls_flip_cosine_std,cls_flip_cosine_median,peak_distance_from_center_mean,peak_distance_from_center_std,peak_distance_from_center_median
Atelectasis,3,0.9821359687164591,0.005797301576623984,0.9855817307428842,0.20816240003733544,0.02517443777699378,0.1961587774889413,1.6068509247746074,0.19610069081834167,1.5139429936387987,0.9390048336613889,0.047468434922179434,0.9644000108604449,0.994686089901029,0.001326162473069065,0.9946631043098471,0.1013022108014497,0.03247667647285038,0.10015420209622197
Cardiomegaly,3,0.9799009285606924,0.0038863453495946196,0.982453423440958,0.22565163626943444,0.01537733679067376,0.21539109527852612,1.814343926976254,0.16419613426360186,1.9015306752633254,0.9519526351128906,0.01641386468941578,0.9584687431937388,0.9957698087880243,0.0009675209595079781,0.9956980501977457,0.08702171886729787,0.020011783383485818,0.0878410461157883
Effusion,3,0.9855005748829869,0.0022531431800733677,0.984946642933149,0.20002369417173202,0.01966310804630517,0.20674502788801136,1.5353496135419318,0.22914196854309554,1.6437045405060815,0.9675591592125504,0.004610616264370357,0.9652793462674022,0.9968862278457228,0.00035498097875888754,0.9968570350368702,0.09867457638418871,0.05353698379472945,0.1111111111111111
Infiltration,3,0.9763362376414877,0.0011828148783696924,0.9755833501876929,0.23900142560446355,0.008868092468903752,0.23829726567398496,2.0010934607813424,0.20615538286619858,1.9759744861226416,0.9558775544873228,0.03204128319761208,0.9723513577319982,0.9942691999989197,0.0013029517772284627,0.9951875776083624,0.12037037037037035,0.09166199015381171,0.13888888888888887
Mass,3,0.97885822345019,0.003326728313917649,0.979531117719635,0.2276352657043537,0.019719849325598917,0.21937441279730063,1.6314155272773097,0.2480574006571141,1.593801503578451,0.9544466632367773,0.021957363571839212,0.9645254047973918,0.993111069029084,0.003083425587169578,0.995093828813857,0.0863384751883033,0.0717533857082364,0.08333333333333331
Nodule,3,0.9742232938694754,0.0074117744540186225,0.9696067407926185,0.23335460053270232,0.02489245254195321,0.245698475116178,2.1310472245972236,0.364228409467546,2.3140827846397984,0.9803958966077747,0.0008108589535455043,0.9808617215438594,0.99612681387669,0.0008785120797198653,0.9960404687162289,0.21512983897157975,0.05086713222960213,0.2222222222222222
Pneumonia,3,0.9806117344948634,0.0002574310235224965,0.9806280787881271,0.22443696375397704,0.004271568678202884,0.2216467338015165,1.9680663984222981,0.18189708665649212,2.083992911979093,0.97261333302152,0.009880210797712166,0.9684137126720411,0.9957182111602619,0.0008105098731786405,0.9961837937948926,0.15068153546389443,0.04456941658732464,0.1778645621509125
Pneumothorax,3,0.9791468917315749,0.008827974539375423,0.9823457577420652,0.22279502753794742,0.03152835216521967,0.20921743095161355,1.8170741129162815,0.3717385638231815,1.7535832115727708,0.9708564261839611,0.011158490319196935,0.9665211203809657,0.9960191266505611,0.000678568997259991,0.9964099856923858,0.10298534717474506,0.06162232102385624,0.08333333333333331
Consolidation,3,0.982169412165372,0.004687519693686292,0.981636845589014,0.21787474503894136,0.017864672348252505,0.22562609606384937,1.4587785903158075,0.04726762099638084,1.427046643710702,0.9573689393406007,0.00785312816586102,0.9520916948434748,0.9949289434252758,0.0012173849254750201,0.9943278718736142,0.213007291864163,0.12380420869284507,0.2115492529406641
Edema,3,0.9799722067405403,0.005045725242955968,0.9823898210170393,0.23062043678843472,0.018064614389665504,0.2272943469870607,1.8435068743979433,0.19772753506101273,1.80658455828434,0.9701095406040562,0.007902001892718603,0.9648043673978218,0.9966132535552831,0.0007690739287561424,0.9961556640433639,0.13028766492468033,0.05782779962636037,0.1388888888888889
Emphysema,3,0.9745543069212509,0.0029407051531890297,0.9728490978033056,0.2247481018327212,0.009863263364625157,0.22159613966070088,1.8812451346994032,0.5447796752430981,2.1706217387542566,0.9818044841152095,0.003663051778537618,0.9820161376200446,0.9959657042570526,0.0005159159936233233,0.9959388570488988,0.17160302331739022,0.17966857669069353,0.06211299937499419
Fibrosis,3,0.9754599298818275,0.009358830149043063,0.9792187448177048,0.2392396957461104,0.024455479759942875,0.23061422133934079,1.9910184247447233,0.37240579466291623,2.1362948238615247,0.9722004989188711,0.006797373911692958,0.9766940217818706,0.9942157478581399,0.00048079585126345746,0.9941570845323922,0.22313906957030358,0.13741104445230037,0.14163943093313291
Pleural_Thickening,3,0.9797582554878354,0.0034681636449358988,0.9793334525058578,0.2173663189115964,0.012086735261493784,0.21595867256980034,1.8294434255627923,0.2644758590481569,1.6915966183991478,0.9695807861129873,0.0038559341698676313,0.9688954525225314,0.996660592937507,0.000809626361518928,0.9963011006449992,0.11694750244771206,0.05514878663331733,0.1495879113092918
Hernia,3,0.9798988542566377,0.0025829223518585975,0.9802527946308026,0.2337535721503614,0.017251423263874424,0.2263889624199782,1.7069981590941339,0.1716858398451654,1.8121536108772422,0.9655894964611352,0.006911836725667031,0.962616381471204,0.9968094971853935,0.0006306714056867962,0.9964586476076499,0.09615893339939356,0.050840291577208756,0.1111111111111111
No Finding,6,0.9808281184628118,0.004546065763422627,0.982996548566127,0.2200070900409011,0.03149444665330154,0.20765021734700553,1.6114090904492866,0.1248235819048429,1.5974342891777855,0.9563763217953873,0.020671372741037787,0.9631295905816577,0.995689489493658,0.0007437056672318585,0.995656200430193,0.1685092716935405,0.08271185445699938,0.125
