global_epoch,cycle,shard_index,record_count,sha256
1,1,1,3000,8972a5038c835d667c5b9efc9118d52a46ce2c035ab83fb94f24ea1a4815fbbd
2,1,2,3000,21f1719b255152b90a0c037ab48dcd6d73d85702a94b8929de250fa0ef5c8044
3,1,3,3000,50543b81dfc84ace4c81c261507a4a4c022b1def91799cd96da3a6f7b8c7b181
4,1,4,3000,282b9f557f5ba1ec2c21bb979e32305b1dd4167871af32e4b21da647e7f0d3d0
5,1,5,3000,d2a3533a76f51df6d64e4cce9fb1498307e17871d4b217d92dac047a60cb6f23
6,1,6,3000,4977ed43c8e90d88593e8c2b73af145ab50d3dba140e5baf81beeb6fe226cfdd
7,1,7,3000,22a69c499ca29ee92cae51f68f858b999199b10b31e45d10591171067e0b3b06
8,1,8,3000,18779f8cf5260ee2767a2f73e0ebf5f4f88b018ed9a9fea72931593e0bc6edcf
9,1,9,3000,bd7936555727943d242278d91cbb10ee1d796a214fa6a7d8d1831c386f33e979
10,1,10,3000,e9994cf6214a2d959106734ca959478a10a5d78403f3a128eea5ab082affe41d
11,1,11,3000,f54dbd0e2b0d8068761ebd7f440280eceb8acb7434dfdcfcf1adf6053fe9e756
12,1,12,3000,ad34d3888646f908d1c80ada69b231a070c4b49dad68704d534283ab774a35b6
13,1,13,3000,35dbac813b84fd049ac27ec6dfc4f6e170fbae7d664bf5a9300faa1b314f9a10
14,1,14,3000,e6b50b433c990bf32f200aa3659fa66c8e88bbf58480b98c8d94977ccaa8a086
15,1,15,3000,9ca7fb92c42d8c7bf704f438f06e06dab4ad5e20f8a0da40fa6c16e3652f39c8
16,1,16,3000,814152031b50be7d9d679f2f634cc674ba1f534dddb032b4d53560118f4a8369
17,1,17,3000,c902303accf244db2027597e0ab1a114720f0c9536d985cab2d53a9be8f535d6
18,1,18,3000,aa800a10d4d9871a6b4d49c2ac45c833b64ab3527039467bfb61b1139fc9e3f2
19,1,19,3000,5438560256066b4eb8ac744383c2de12bd49dadb61a1048f727cbce2d736ab4f
20,1,20,3000,389bf38e24dcc9acd7412c5bdfbb9f0449fef5e4d094e9b42b92a21f7a7f2ff3
21,1,21,3000,469dbafc762a1bc58e7a3fbb13ba84edd56b4fead6eb697b3509c107f5d8444e
22,1,22,3000,3032e641bd98dbda19de5f724c58e04afa4995485299a95e4c04c4fe839cb6e9
23,1,23,3000,ae539172e89e21250acf66b2c4fb976e2c9e598030d5d4cd9c9cf24733def06e
24,1,24,3000,f0dced311546da48e3f87e5a0934a5fb0d97f8a66bda7e44fd360a785f087d3e
25,1,25,3000,1ef1557110f83449a690aa65e8870626ee3ba3abca536b79a00e7adedb9b7329
26,1,26,2782,ed82978d63282e2a410d16ce056eb17a86d5bcad4fc1cf52281a896acdac2a3a
