comparison,candidate,organ,threshold,dice,iou,precision,recall,specificity
fixed_threshold_primary,stage8b_baseline,left_lung,0.5,0.9733721791386871,0.9481256589384596,0.9787325535664634,0.9680702008505204,0.9972843111468067
fixed_threshold_primary,stage8c_continuation,left_lung,0.5,0.9745446737384624,0.9503531248809461,0.9759608669584368,0.9731325845706865,0.9969055729024678
calibrated_threshold_secondary,stage8b_baseline,left_lung,0.35,0.9736008621954321,0.9485597038574394,0.9736853332987927,0.9735164057472132,0.9966034003236285
calibrated_threshold_secondary,stage8c_continuation,left_lung,0.5,0.9745446737384624,0.9503531248809461,0.9759608669584368,0.9731325845706865,0.9969055729024678
fixed_threshold_primary,stage8b_baseline,right_lung,0.5,0.9787016245852322,0.9582915709503247,0.9788257673031494,0.9785775133529186,0.9967521627268813
fixed_threshold_primary,stage8c_continuation,right_lung,0.5,0.979795824261877,0.9603918975855883,0.9801310553441334,0.9794608224172396,0.9969536874404716
calibrated_threshold_secondary,stage8b_baseline,right_lung,0.5,0.9787016245852322,0.9582915709503247,0.9788257673031494,0.9785775133529186,0.9967521627268813
calibrated_threshold_secondary,stage8c_continuation,right_lung,0.5,0.979795824261877,0.9603918975855883,0.9801310553441334,0.9794608224172396,0.9969536874404716
fixed_threshold_primary,stage8b_baseline,heart,0.5,0.9627153636780338,0.9281110796084455,0.9587435592389358,0.9667202131468431,0.9959574116462651
fixed_threshold_primary,stage8c_continuation,heart,0.5,0.9642945778054255,0.9310510084635502,0.9658555362676404,0.9627386566592664,0.9966926058392327
calibrated_threshold_secondary,stage8b_baseline,heart,0.6,0.9628148235638865,0.928295973986273,0.9628691703573855,0.9627604829049845,0.996392095361099
calibrated_threshold_secondary,stage8c_continuation,heart,0.45,0.9643446119471336,0.931144300576851,0.9639661125889546,0.9647234086560925,0.9964955361100969
