label,metric,estimate,ci_low,ci_high,confidence_level
Atelectasis,auprc,0.2538481745609171,0.23053413215565485,0.2767040101556392,0.95
Cardiomegaly,auprc,0.1834786965815598,0.13514023805674408,0.23249353879102314,0.95
Effusion,auprc,0.40874962769550993,0.37510505698803415,0.4394623005818359,0.95
Infiltration,auprc,0.2911018588075087,0.26680063158643863,0.31438258185376594,0.95
Mass,auprc,0.17919245289901345,0.14283591477043556,0.22109611649022284,0.95
Nodule,auprc,0.14716785234260585,0.11892341414037469,0.17766107125101233,0.95
Pneumonia,auprc,0.01873705342379019,0.013969861783046274,0.02508465602551261,0.95
Pneumothorax,auprc,0.21279820814649295,0.1679971802883495,0.2599539071523075,0.95
Consolidation,auprc,0.0976770343879885,0.08094041909411348,0.11662566150426223,0.95
Edema,auprc,0.11341778594688173,0.08447618801798319,0.14329401960958488,0.95
Emphysema,auprc,0.15271218202261688,0.1110408273554183,0.19697307761870148,0.95
Fibrosis,auprc,0.03126440317043389,0.023431041689995092,0.04229813620847043,0.95
Pleural_Thickening,auprc,0.06767777427941934,0.055818589425054486,0.08157582960211256,0.95
Hernia,auprc,0.01772753827927665,0.0041165080444505436,0.04598250899950144,0.95
ALL_LABELS,macro_auprc,0.15539647446742963,0.14771842145899564,0.16369926314249147,0.95
Atelectasis,auroc,0.7547262122210339,0.7398158920404315,0.7696239472604516,0.95
Cardiomegaly,auroc,0.7918406408566235,0.7559384823899358,0.823606458064447,0.95
Effusion,auroc,0.8292884304567019,0.8166672073448646,0.8412771200009482,0.95
Infiltration,auroc,0.65389880737008,0.6385605929195574,0.668532092698938,0.95
Mass,auroc,0.7027203224787748,0.6705545709061884,0.7361733854992002,0.95
Nodule,auroc,0.6618803811094425,0.6365553873474804,0.6851288188656164,0.95
Pneumonia,auroc,0.5799891986179885,0.5346298199852363,0.624442279383353,0.95
Pneumothorax,auroc,0.8065069400184409,0.7800664357206187,0.8312670904722329,0.95
Consolidation,auroc,0.7215294050130531,0.6995535428215418,0.7421328733586272,0.95
Edema,auroc,0.8341802478163904,0.8072487042089677,0.8609829631402675,0.95
Emphysema,auroc,0.8101725160419526,0.7807020103537158,0.8378792309097304,0.95
Fibrosis,auroc,0.6725311944801748,0.6298524072568457,0.714390993372076,0.95
Pleural_Thickening,auroc,0.6789586428866508,0.6487096745835199,0.7087541659114529,0.95
Hernia,auroc,0.6983266045276303,0.607052469492112,0.7917933512750522,0.95
ALL_LABELS,macro_auroc,0.728324967421067,0.7175598187310182,0.7391710809514193,0.95
