label,auprc,auroc
Atelectasis,0.25339038823654125,0.7549219436307192
Cardiomegaly,0.18121496444316929,0.7919455375630742
Effusion,0.408489601012364,0.8295467688559354
Infiltration,0.29074139054357884,0.6540441631641083
Mass,0.17794687425503436,0.7036266500650005
Nodule,0.14625260806781407,0.662440870340002
Pneumonia,0.017920063461342353,0.5804270834336682
Pneumothorax,0.2107523975025286,0.8065465877641024
Consolidation,0.09720264675840315,0.7221448395371451
Edema,0.11161343201989457,0.834814204489163
Emphysema,0.14962288121621878,0.8104931536693877
Fibrosis,0.030098294515937186,0.6736293330819124
Pleural_Thickening,0.06680858275431739,0.6791713422529132
Hernia,0.014595527144174888,0.6983722422566272
