label,split,positives,records,prevalence
Atelectasis,train,7903,77782,0.10160448432799363
Atelectasis,validation,1679,15952,0.10525325977933801
Atelectasis,test,1797,17061,0.10532794091788289
Cardiomegaly,train,1943,77782,0.02498007251034944
Cardiomegaly,validation,308,15952,0.01930792377131394
Cardiomegaly,test,480,17061,0.02813434148056972
Effusion,train,9175,77782,0.11795788228639016
Effusion,validation,1820,15952,0.11409227683049147
Effusion,test,2080,17061,0.12191547974913546
Infiltration,train,13860,77782,0.17819032681083027
Infiltration,validation,2727,15952,0.17095035105315948
Infiltration,test,3004,17061,0.17607408709923217
Mass,train,3988,77782,0.051271502404155206
Mass,validation,835,15952,0.052344533600802406
Mass,test,914,17061,0.053572475235918175
Nodule,train,4435,77782,0.057018333290478514
Nodule,validation,882,15952,0.05529087261785356
Nodule,test,983,17061,0.05761678682375007
Pneumonia,train,996,77782,0.012805019156102954
Pneumonia,validation,218,15952,0.013665997993981946
Pneumonia,test,197,17061,0.011546802649317156
Pneumothorax,train,3713,77782,0.04773598004679746
Pneumothorax,validation,824,15952,0.051654964894684054
Pneumothorax,test,735,17061,0.043080710392122384
Consolidation,train,3242,77782,0.04168059448201383
Consolidation,validation,607,15952,0.03805165496489468
Consolidation,test,716,17061,0.04196705937518316
Edema,train,1607,77782,0.020660307011905066
Edema,validation,330,15952,0.020687061183550653
Edema,test,322,17061,0.018873454076548855
Emphysema,train,1748,77782,0.022473065747859403
Emphysema,validation,401,15952,0.02513791374122367
Emphysema,test,346,17061,0.02028017115057734
Fibrosis,train,1228,77782,0.015787714381219304
Fibrosis,validation,210,15952,0.013164493480441323
Fibrosis,test,246,17061,0.014418850008791981
Pleural_Thickening,train,2388,77782,0.03070119050680106
Pleural_Thickening,validation,460,15952,0.028836509528585758
Pleural_Thickening,test,511,17061,0.02995135103452318
Hernia,train,157,77782,0.0020184618549278755
Hernia,validation,29,15952,0.0018179538615847543
Hernia,test,39,17061,0.0022859152452962897
